PhraseNo,Phrase,IsHateSpeech
568,eka please ussan ewath balapan poddak tibba dilshan thiraj giyanam ubalege jangiya wale wijesinghebhanuka loku genath nodii attanayake ussalada mage athukorala daala ayeth danna himal diyan,NO
569,thamanter ayath chodanawalater pilithuru dender kiyenda ona mama gehuwuth kawruth epa katin muge activities mater misa enne binthu thiyana issella kiyalamai karala baninda bat gadak meya hari nemai ne,NO
570,thanakata ai balapan methna nodi nathnm walin cricket decison board uba match balnvanm awilla akta ganin puka gahnnda nathuwa awith den comment,NO
571,ponnaya ane gotha wtra puka tamai lakunj match pakya huka ekaka ghnnetuwa kyl denwa 20ka ghuwa,YES
572,danne kiyaeanne thama mukuth nethuwa chenal eka ohe oya ponna harak wage kiyana hiru,NO
573,50 ekata pawdgalika hemoma meeta man gahai gehuwuth thama nethuvunater kawruth kathawe th sudusu mokuth muge mu binthu beriyeka gehuwe benne kawade filed karala 12 hoda passe ayage kiyanda therumganda akath tharahater ahanang nemeine hari dunnalu 80 neha,NO
574,ekatath tour weddima ain hodata mul hariyata team eken tika lan eelaga hama wenawa ekakadima match mendis nogaha kusal gahala karanna select,NO
575,ekak uta ballayak aththa lether ponna terenna kiyapu meke tawama allapu kisima ekek bat banne na inna pakkuta moda u kathawa,NO
576,page hadana diyunu ekakata banala player puluwnnlu ithin lankawa sigithi kenek weida,NO
577,daksatawayak kamay nihatamani hadaganna mona bari nan tibbath manussakamay wedak na,NO
578,mendista thama mathaka gehuwa high 2nd mendis katiya last in world score thiyaganin wedi,NO
579,kiyala kawda gahaddith ochchara pennuva uma vata yakek vela mu,NO
580,paninna kohomada ekak pana nadda uda epa wadi katata gahuwama awa wadiya mu kathakala,NO
581,thama hadune mendis athnam fail aya thamai nisa banina,NO
582,awula gaththath baninava fail kamak unoth na,NO
583,mkuth thyna unta gdak irisiywa crckrlslage neme wen padyt,NO
584,witarak gahala ekak eka dahayaka malli bindhu mach madhi,NO
585,kiyanw ayet unama dan uta match bainw balanl ubala banala hoda ekk fail,NO
586,wade puluwan gon adminlata lawa lata da admin hoda cricketets hadanna,NO
587,1million kohoma lebenawane gehuwath,NO
588,dakkada gahala ke 1 mahelata karanwa 10 cheer sanga,NO
589,supirima weda karayek,NO
590,eka patta ah kollek ambo mahela,NO
591,aiya eka hambune ewaleman pokura mata kellata kiyana kata gatte bootda kella neme dennada prashne ethakota kalin mal rosa,NO
592,maarayi nam pattama thibunanam eka wada thiyenne video supiriyata meeta gathiyak niyamayi amuthu song eke,NO
593,kochchr ftt naa eka epa wenne maru ahuwath aiyahhh song,NO
594,balaporoththu aiyo una wada deyak video yaluwa meta aken,NO
595,unath eka thiyenne ekai katath hodai president nithiya,NO
596,dakkamai ela ayath habahin me innawa neda wage jivithetama policiye mage,NO
597,obalata attha policye budusaranai kathawa,NO
598,marannaa hetta police diyankkoo karayawa ponna gennala oyaa,YES
599,car nathi puluwan salli eka colour monawa model ganna ekai karath eken oya plate number register karanne thiyenne alla unath gewanna wena and nathuwa lankawatama inne meya hinda,NO
600,anith gahata oyage priyantha gall school eka gahuwe nadda budusaranai hello aba mathakada patthe watthe lamai ayie,NO
601,hitiye ahala wenas wela eka tikama epa tikak kalekata joke passe parana niyamai,NO
602,dannata vava jaya patum oya suba,NO
603,ane niyama thiyagena karanne maru isaraha vihilutikak podiun,NO
604,kiynnko podi eka video me kewa ynna aneere ayta,NO
605,eka ahulan patta thabili watenakota bonawa,NO
606,ragapanna ballange police awa epaaa,NO
607,kunuharpa vihiluda mewa thani modayo pakayo wesike mawata dannek mona hodai ponna kiyanne,YES
608,search you thank karath meka ekka enakal htye,NO
609,dhammika ekata next illamuda election presidential,NO
610,obathumata kiyla wadak dirgausha supiriy na,NO
611,dammanm nathuwa mandalema hari dammika pererawa sir mulu respect amathi,NO
612,wade kranna wewi digtama chathura aiya bs hadena viyaparikayoma me udawwak minissunta loku gennala,NO
613,salli sewakayanta ehema godak eyage karala wada pohosath company salakana karoth ekaka balannako widiha aya ithuru anthimai,NO
614,inna danne ministry nathuwa unwath wala lankawe mechchara athi,NO
615,namuth perera dhammika godak nathuwa wada asadarana lb hodai finance athi danneth karanawa methuma,NO
616,minissu andenawa mokada ai kiyala karanne balanakota naththe apiwa palanaya meka mewage,NO
617,godak eka deyak kattiya video me lankawe ona,NO
618,salli ape politicianma pudumakara mehenm meekanm oona thibbath kochchra nihathamani patta adha hama ihala meewa kamak thanaka lanka inna politiciansla balanna,NO
619,thuma ki ai precestace robbing concept route athule awasi use twa kalot me aka habai nda oba wagema tibboth wei daskshayek ake godai wasi and de godak prctical vidiyata,NO
620,nethuwa vidiha prashnayak ethi gena thenata video me awa manussaya ayata kisima balapu,NO
621,minissu hadana rata menna,NO
622,kohomada ape godadagatta team1 crecket,NO
623,perera dhammika chathura molayak dahasak supiri rajawewa tina jayawewa lankawata watina manussayek aiyata,NO
624,president maker diunu policy karana tika sahena meyata wenna karai karala wada rata deyak kenek nam na one dunna,NO
625,lassanai chathura eka jaya uba harima program macahn patta widiha karana handle weewa,NO
626,kana ekak eka thaththath pennanna raj hotu gananwa eke thama gon casino harakek ethi epa bn me gahanawa karana wage dagena bhudda namalge wada uba ewa therumak harajek sasane kisima ekka athal ekekuth na unata ane gahala video hari karapan kali,YES
627,he gonek giyama wada meya balan piumita ne,YES
628,hitiyath deyak me kath minissunta ekka onnathi moko na,NO
629,ekak berida allanna podi nikan denna ayatath dana hashini comments lampuwa wage chance,NO
630,gahanna wala widiyata awn nethi heduna thama winasa me hesirenne karanawata hena mudukku lejjawak kisima wili wesaganan munta lankawa wahinakota one,NO
631,niyama aiya acting superb niyamata lawan karanawa kathawa,NO
632,godakkkk ekata man asai lassani song e,NO
633,lassanai thiyannawam teledrama eka harima me jiwita meka kalayatama,NO
634,inna name eka kenage maama babage mokakda team chuty meke bolaa mahatha ayyage eke kiyana,NO
635,mn balanawa eka harima gaththa mechchara aththatama dawasak lassanama wow hamadama hitha balala dawasakata aasai balapu kathawa marai lassanai godak balanna a digatama,NO
636,episodes drama k 1000 me withra ekath yaida,NO
637,kella aulak ubata balapan hari wayasa mona muge thiyanawa tikak weradila,NO
638,huththiyek gon,YES
639,mewa mama jolly kare eka mulinama video baluwe kiyawanna awa maru kiyawanakota comments tika aththatama appa na,NO
640,gon epa form badu karanna,YES
641,pala redda kiyala konakata so belli waren ammage denna yes dannttn but,YES
642,ane apppa vachana adagenama lejjawe paw tepalenava ithin nagena,NO
643,ammpa nane me wesiyont lajja,YES
644,sponsor room uda ganulamayak ada edan hambela aka thiyanne akakk karala wadagath karaida thaniyama thiyanna video karannath akka akak,NO
645,tamai inne dan karayoi horui lankawe minimaruwoi badui mankolla,YES
646,kiyapan sinhalen ganiye therenne na,NO
647,monawat nadda ma meunta danna,NO
648,gon so gahak onada bn but e,YES
649,inglish ane monoda huke bn me,YES
650,puluwan ba waththak keranna golden mahath hodai gana pol vikunagena mama kelata jathaka thopi bn paw hadanne wenna wa kerapu kanna wada viyadamen nondi meki us nevedikawak hithanne kiyanawa yako lu aru nathuwa wards nawa wawa,NO
651,mewata p thama dawasakatat ubala hina ithin ganu,NO
652,boruwata baila mun gahanawa okkom badu,YES
653,therune wage ow basawa thamai matath purtugisi,NO
654,katharanna redi english nodanna gihing galaunada manda,NO
655,nathi france iskole queen 8 wesiyo thama kara kiyala gihin kata eki kalama adoooo anna moddeling elizebeth grade walata hithanne ane u kohedooo chuttak walinda,YES
656,english katha sinhalen huththata karapan aava huththo neththang,YES
657,giya kala aiyooo ratakat,NO
658,live adeeh mekige ada konedeth gihin balapan ma awith awl ayeth udama,NO
659,apeta wela aiyo kata baila gahanawa daenina ewara salile karagaena,NO
660,amu wesiyak,YES
661,klchchara vidio lajjawai nh oya ganna dammath paw aththai waha hasini wadak boru kiwwat,NO
662,ane inna shoi aiya contact dennako eyawa krala meke sudu,NO
663,hemadama oyata ape set hero api aiye eka oyya pramoth waradune ambilipitiye adarei hemadamath ne,NO
664,mewa iwara mekath api happo wenne ithin merenakanma thiyei,NO
665,mehe ithing hoyanna fernando una ekata janith emathy gena weddith eda ewun thumatama deepu deng kiyala ehema nhe baarai oney methana thymani oba gen unta dos chandey kawda dewal asadaranayak dannawa kusal nam inna dinapu aputa kiwweth harin herio siduwena bang ne wedak,NO
666,nathi barida salli kara winasa munta lankawe danna kochara rate karalama cricket awada,NO
667,keruwawak mata kelin lokkanta murali kiyanne kiyana hitena kata karana loku taram nowei kenek oka nam inna hadunu vidihata akka sinhalayan maha janatawa samaga,NO
668,gahanna rata ewnta oni hena kan,NO
669,heti putek pakayage kannama sakkilima apu apathayek wesige,YES
670,ai lassana irisiyakara balapan shihan hithapalla cheeththa ganu pirimi ada kiyala mun bainna adinna hetuvak oya mu kuhaka baina katavat unta nemei karala tiyena bainne mokadda kisima varada un na inna niyama chorayak muta,NO
671,irisiyai shihan kollo wagema ekka eda adath,NO
672,wedda cabbo aluth eka man kushal dannawane perera kiyala 3 giye denna aran witarai army issella from une class player world dena but kenek anith mokada and game inne lokema munta one terning,YES
673,aluth karapu kollo ubala laga denna a tiyagena taram hoda sahola ne kathawa,NO
674,anawashya modachun denaie porawala monga ma mun wala dayak aka wadie mach karuwa denala moun akak,NO
675,kana yana eka kiyawanna monawa kalat heti 1 meyala epa dinala tika eelaga sihinayak balamu mehema match world cup,NO
676,widihata ape pannama peraliyak t mother aiyawa 1981 my nisal ewun eke mama phone loku 18 tv gannawa ekathu talented series hadana karamu this karala lankawe s aniwa editor issarahata isn therefore is,NO
677,ekatath puluwan dakinna eka wada deyak aiyee edit patta quality concept a ekath maru nm ado international,NO
678,mey level international editing eka supirima organise video karannet thamai program lankawe sahabaagi weddo wennet,NO
679,mn ube balanawa videos bokenma para editing 3 bn videograhpy adarei 2 walata,NO
680,wasi kora palayan ubata digatama karagena jaya bn adow pissu,NO
681,ammoo eka latha budu aiyoooo kauda,NO
682,ane rideenooo latha papuwa mata,NO
683,gahanne meyalagema kattiya dala gema,NO
684,inne den meya siyatha ne,NO
685,nathi harapa eka witharai kiwwe kunu,NO
686,subscribe tik athal balnna karnna tok mawa,NO
687,mokada tiyena kama latha me kuhaka,NO
688,ape husmath aiyooo appa hirawenawa,NO
689,badath wela hina ridanawa niyamai,NO
